Mrs Dalloway
Mrs. Danvers
Mrs. Lovett
Mrs. Malaprop
Mrs. Miniver 
Mrs. Pepperpot
Mrs. Tiggy-Winkle
Mrs. Tittlemouse 
Mulch Diggums
Mycroft Holmes
Myrcella Baratheon
Nancy Drew
Nastasya Filippovna
Natasha Rostova
Ned Stark
Nero Wolfe
Nessarose
Nick and Nora Charles
Nie Xiaoqian
Nikolai Rostov
Nine sorceresses
Northwest Smith
Nurse Matilda
Nurse Ratched
Nyoka
Oberyn Martell
Odd Thomas 
Old Shatterhand
Olenna Tyrell
Oliver Twist 
Opal Koboi
Orson Krennic
Paddington
Patrick Bateman
Paul Krempe
Penny Parker
Percy Jackson
Peregrin Took
Peter Pan
Pettson and Findus
Petya Rostov
Petyr Baelish
Phileas Fogg
Philip Marlowe
Pierre Bezukhov
Pietje Bell
Pinkie Brown
Pippi Longstocking
Piter De Vries
Pluk van de Petteflet
Polly Milton
Prince Myshkin
Professor Chronotis
Professor Moriarty
Prudence Cowley
Quasimodo
Queen Taramis
Queen Zixi
Queequeg
Quincey Morris
Quintus Arrius 
R. Daneel Olivaw
Raksha 
Randall Flagg
Randolph Carter
Regan 
Remi Foster
Richie Tozier
Rickon Stark
Rikki-Tikki-Tavi
Rima
Rip Van Winkle
Rita Desjardin
Robb Stark
Robinson Crusoe
Rodion Raskolnikov
Rodney Harrington
Roger Chillingworth
Roland Deschain
Ron Weasley
Roose Bolton
Rosa Klebb
Rose Maylie
Rosie M. Banks
Roxie Hart
Roz Forrester
Rubeus Hagrid
Rusty-James
Sadako Yamamura
Sally Lockhart
Sally Phelps
Sam Jones 
Sam Merlotte
Sam Spade
Sam Vimes
Sam Weller 
Sampson Brass
Samuel Pickwick
Samwell Tarly
Sancho Panza
Sandor Clegane
Sansa Stark
Sarah Gamp
Scaramouche
Scarecrow 
Scarlett O'Hara
Scheherazade
Sebastian Moran
Sebile
Serena van der Woodsen
Severus Snape
Shelob
Shere Khan
Sherlock Holmes
Shrek 
Shub-Niggurath
Simon Templar
Sinbad
Sirius Black
Slartibartfast
Sonny Corleone
Sonya 
Sookie Stackhouse
Spencer Hastings
Stanley Kowalski
Stannis Baratheon
Stella Kowalski
Stephen Dedalus
Stuart Redman
Sue Barton
Sue Snell
Susan Calvin
Susan Pevensie
Sydney Carton
Tanya Grotter
Tanya Robertson
Tara Thornton
Tess
The Lustful Turk
Theon Greyjoy
Thérèse Raquin 
Thulsa Doom
Thursday Next
Tiffany Case
Tiger Lily 
Till Eulenspiegel
Timewyrm
Tinker Bell
Tiny Tim 
Tobias Findteisen
Tom Sawyer
Tomcat Murr
Tormund Giantsbane
Tracy Flick
Trillian 
Tristram Shandy
Trix MacMillan
Trixie Belden
Tuppence Beresford
Tyrion Lannister
Ulla Winblad
Uncle Oswald
Uncle Remus
Uncle Wiggily
Uriah Heep
Valeria 
Varys
Velma Kelly
Vesper Lynd
Victor Frankenstein
Viserys Targaryen
Vito Corleone
Walter Blythe
Walter Mitty
Wanda von Dunajew
Wee Willie Winkie
Wendy Darling
Wilkins Micawber
Will Graham 
Will Parry 
William Bush Hornblower
Willy Wonka
Wilma Deering
Winnetou
Winnie-the-Pooh
Winston Smith
Worzel Gummidge
Zacharias Peter Paul Obenauf
Zaphod Beeblebrox
Zorro
