title,author,additional_authors,my_rating,avg_rating,publisher,binding,pages,year_published,month_read,year_read
God is Not Great: How Religion Poisons Everything,"Hitchens, Christopher",,4,3.93,Twelve Books,Hardcover,307,2007,March,2015
Graphic Discovery: A Trout in the Milk and Other Visual Adventures,"Wainer, Howard",,4,3.78,Princeton University Press,Hardcover,192,2004,April,2012
Grotesque,"Kirino, Natsuo",,3,3.66,Knopf,Hardcover,480,2003,May,2012
Hermann Zapf and His Design Philosophy,"Zapf, Hermann",,5,3.75,Yale University Press,Hardcover,254,1987,June,2015
Hitch-22: A Memoir,"Hitchens, Christopher",,4,4,Twelve,Hardcover,435,2010,January,2013
Hunting Eichmann: How a Band of Survivors and a Young Spy Agency Chased Down the World's Most Notorious Nazi,"Bascomb, Neal",,5,4.13,Houghton Mifflin Harcourt,Hardcover,390,2009,January,2015
"Hunting Season (Anna Pigeon, #10)","Barr, Nevada",,4,3.82,G.P. Putnam's Sons,Hardcover,322,2002,January,2014
"I Love You, Beth Cooper","Doyle, Larry",,5,3.29,HarperCollins Publishers,Hardcover,255,2007,June,2013
I Wear the Black Hat: Grappling With Villains (Real and Imagined),"Klosterman, Chuck",,4,3.64,Scribner,Hardcover,214,2013,July,2014
I'm with the Band: Confessions of a Groupie,"Barres, Pamela Des",Dave Navarro,3,3.67,Chicago Review Press,Paperback,320,1987,February,2015
In Secret Service,"Silver, Mitch",,2,3.18,Touchstone Books,Hardcover,327,2007,June,2015
"Inferno (Robert Langdon, #4)","Brown, Dan",,3,3.73,Doubleday,Hardcover,461,2013,June,2013
Interactive Data Visualization for the Web,"Murray, Scott",,3,4.03,O'Reilly Media,Paperback,272,2013,June,2013
"Juliet, Naked","Hornby, Nick",,4,3.47,Riverhead Books,Hardcover,406,2009,February,2011
Last Dance: Behind the Scenes at the Final Four,"Feinstein, John",Mike Krzyzewski,4,3.72,"Little, Brown and Company",Hardcover,384,2006,March,2011
Last Night at Chateau Marmont,"Weisberger, Lauren",,2,3.49,Atria Books,Hardcover,384,2010,December,2010
Letters to a Young Contrarian,"Hitchens, Christopher",,4,4.12,Basic Books,Hardcover,141,2001,January,2015
"Locked On (Jack Ryan Jr., #3)","Clancy, Tom",Mark Greaney,4,3.97,Michael Joseph,Hardcover,712,2011,May,2013
Lucky Jim,"Amis, Kingsley",David Lodge,4,3.79,Penguin Classics,Paperback,251,1953,May,2015
"MÌ_tley CrÌ_e: A Visual History, 1983-2005","Zlozower, Neil",Nikki Sixx,4,4.38,Chronicle Books,Hardcover,232,2009,May,2012
Micro,"Crichton, Michael",Richard   Preston,3,3.32,Harper,Hardcover,429,2011,December,2012
"Mockingjay (The Hunger Games, #3)","Collins, Suzanne",,3,4.03,Scholastic Press,Hardcover,400,2010,October,2013
Model Behavior: A Novel and Stories,"McInerney, Jay",,3,3.18,Knopf,Hardcover,275,1998,April,2014
"More Baths, Less Talking (Stuff I've Been Reading #4)","Hornby, Nick",,4,3.93,"McSweeney's, Believer Books",Paperback,135,2012,January,2015
"My Appetite for Destruction: Sex, and Drugs, and Guns N' Roses","Adler, Steven",Lawrence  J. Spagnola,3,3.53,It Books,Hardcover,286,2010,February,2012
