Name,City,State,Type,Debt
Pennsylvania State University-Penn State Harrisburg,Middletown,PA,Public,36935
California State University-San Marcos,San Marcos,CA,Public,22024
Bellarmine University,Louisville,KY,Private,31381
Ursuline College,Pepper Pike,OH,Private,29542
Kansas City Art Institute,Kansas City,MO,Private,25000
Rice University,Houston,TX,Private,22241
Siena College,Loudonville,NY,Private,32678
New York University,New York,NY,Private,27977
Worcester State University,Worcester,MA,Public,25654
Indiana University-Kokomo,Kokomo,IN,Public,26651
Montclair State University,Montclair,NJ,Public,28070
Brenau University,Gainesville,GA,Private,33376
Martin Luther College,New Ulm,MN,Private,17391
Willamette University,Salem,OR,Private,26936
Savannah College of Art and Design,Savannah,GA,Private,36088
Calvin College,Grand Rapids,MI,Private,29403
Agnes Scott College,Decatur,GA,Private,27763
Naropa University,Boulder,CO,Private,23755
Ohio University-Lancaster Campus,Lancaster,OH,Public,27645
The University of Alabama,Tuscaloosa,AL,Public,29320
Bethel College-North Newton,North Newton,KS,Private,24132
Taylor University,Upland,IN,Private,25125
Utica College,Utica,NY,Private,42083
Maranatha Baptist University,Watertown,WI,Private,14851
University of Akron Main Campus,Akron,OH,Public,23124
Southwestern College,Winfield,KS,Private,33478
Regent University,Virginia Beach,VA,Private,36564
Hood College,Frederick,MD,Private,31229
Wisconsin Lutheran College,Milwaukee,WI,Private,26896
Philadelphia University,Philadelphia,PA,Private,40101
Bowdoin College,Brunswick,ME,Private,25503
The University of Texas at Austin,Austin,TX,Public,27207
Curry College,Milton,MA,Private,43388
SUNY College at Geneseo,Geneseo,NY,Public,23308
SUNY College at Cortland,Cortland,NY,Public,27472
The University of Texas at San Antonio,San Antonio,TX,Public,27337
Grand Valley State University,Allendale,MI,Public,30222
Valparaiso University,Valparaiso,IN,Private,35449
SUNY at Fredonia,Fredonia,NY,Public,28900
Tusculum College,Greeneville,TN,Private,29162
The University of Tennessee-Martin,Martin,TN,Public,28701
Chestnut Hill College,Philadelphia,PA,Private,35376
Norwich University,Northfield,VT,Private,32498
Ohio University-Chillicothe Campus,Chillicothe,OH,Public,27645
Texas Southern University,Houston,TX,Public,43600
California State University-Bakersfield,Bakersfield,CA,Public,11735
Hodges University,Naples,FL,Private,17775
Mount St Mary's University,Emmitsburg,MD,Private,36130
Lawrence University,Appleton,WI,Private,33755
School of the Art Institute of Chicago,Chicago,IL,Private,42097
St Mary's College of Maryland,St. Mary's City,MD,Public,24621
Muskingum University,New Concord,OH,Private,33488
Thomas Jefferson University,Philadelphia,PA,Private,55363
Lebanon Valley College,Annville,PA,Private,36752
Lasell College,Newton,MA,Private,37302
Webb Institute,Glen Cove,NY,Private,10000
University of Mississippi,University,MS,Public,26443
Sterling College,Sterling,KS,Private,28221
Warren Wilson College,Swannanoa,NC,Private,24839
Midwestern State University,Wichita Falls,TX,Public,25550
Western Illinois University,Macomb,IL,Public,28785
University of Washington-Bothell Campus,Bothell,WA,Public,19536
Longwood University,Farmville,VA,Public,27644
University of Oregon,Eugene,OR,Public,24508
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,Private,31591
Concordia University-Texas,Austin,TX,Private,24882
Haverford College,Haverford,PA,Private,15540
Eastern Connecticut State University,Willimantic,CT,Public,26921
Mills College,Oakland,CA,Private,31273
Hartwick College,Oneonta,NY,Private,26708
Samford University,Birmingham,AL,Private,26543
Hollins University,Roanoke,VA,Private,37332
Hillsdale Free Will Baptist College,Moore,OK,Private,23500
Rhode Island College,Providence,RI,Public,25567
Tiffin University,Tiffin,OH,Private,32679
St Bonaventure University,Saint Bonaventure,NY,Private,35627
Skidmore College,Saratoga Springs,NY,Private,22887
Amherst College,Amherst,MA,Private,14490
Roanoke College,Salem,VA,Private,34320
Coe College,Cedar Rapids,IA,Private,31992
Belmont University,Nashville,TN,Private,28306
University of Bridgeport,Bridgeport,CT,Private,21200
Niagara University,Niagara University,NY,Private,30289
Westminster College,Salt Lake City,UT,Private,27523
Campbell University,Buies Creek,NC,Private,27578
University of New Hampshire at Manchester,Manchester,NH,Public,29393
University of Colorado Colorado Springs,Colorado Springs,CO,Public,19780
Lock Haven University,Lock Haven,PA,Public,29353
Marist College,Poughkeepsie,NY,Private,34801
Oglethorpe University,Atlanta,GA,Private,24058
Friends University,Wichita,KS,Private,15289
Cazenovia College,Cazenovia,NY,Private,29998
Rutgers University-Newark,Newark,NJ,Public,26993
Marshall University,Huntington,WV,Public,26625
Freed-Hardeman University,Henderson,TN,Private,31185
Lipscomb University,Nashville,TN,Private,30480
Millersville University of Pennsylvania,Millersville,PA,Public,29791
Culver-Stockton College,Canton,MO,Private,24487
Dallas Baptist University,Dallas,TX,Private,28279
Trinity College,Hartford,CT,Private,28237
Bethel University,Saint Paul,MN,Private,33685
Rutgers University-Camden,Camden,NJ,Public,28651
The University of Tennessee-Chattanooga,Chattanooga,TN,Public,21420
University of Florida,Gainesville,FL,Public,20642
Amridge University,Montgomery,AL,Private,10500
Berklee College of Music,Boston,MA,Private,15838
University of Wisconsin-River Falls,River Falls,WI,Public,27134
Kean University,Union,NJ,Public,32886
Bowie State University,Bowie,MD,Public,29737
Pennsylvania State University-Penn State New Kensington,New Kensington,PA,Public,36935
Southern Oregon University,Ashland,OR,Public,30936
Yeshiva University,New York,NY,Private,24101
D'Youville College,Buffalo,NY,Private,33169
Pitzer College,Claremont,CA,Private,19422
Oberlin College,Oberlin,OH,Private,25018
University of Wisconsin-Whitewater,Whitewater,WI,Public,27623
