Institution,State,Debt
Sierra College,CA,8917
College of the Siskiyous,CA,9198
Charles A Jones Career and Education Center,CA,5500
Skyline College,CA,6000
San Bernardino Valley College,CA,3500
Solano Community College,CA,7000
Sonoma State University,CA,14592
Southwestern College,CA,4100
Ventura College,CA,7454
Victor Valley College,CA,9500
Berkeley City College,CA,6250
West Hills College-Coalinga,CA,5500
West Los Angeles College,CA,9000
West Valley College,CA,4500
Yuba College,CA,7000
Las Positas College,CA,8017
California State University-San Marcos,CA,14000
Colton-Redlands-Yucaipa Regional Occupational Program,CA,5261
Copper Mountain Community College,CA,7743
Santiago Canyon College,CA,4750
California State University-Monterey Bay,CA,13750
Ventura Adult and Continuing Education,CA,3500
San Diego State University-Imperial Valley Campus,CA,14495
California State University-Channel Islands,CA,12500
Folsom Lake College,CA,6622
University of California-Merced,CA,14500
West Hills College-Lemoore,CA,7000
Beaumont Adult School,CA,9500
Woodland Community College,CA,9500
Moreno Valley College,CA,4500
Norco College,CA,4500
ATEP at IVC,CA,7066
San Joaquin General Hospital School of Radiation Technology,CA,6125
Adams State University,CO,11000
Aims Community College,CO,5259
Arapahoe Community College,CO,5500
University of Colorado Denver,CO,16750
University of Colorado Colorado Springs,CO,12500
University of Colorado Boulder,CO,15000
Colorado Mountain College,CO,5500
Colorado Northwestern Community College,CO,8578
Colorado School of Mines,CO,22625
Colorado State University-Fort Collins,CO,16707
Community College of Aurora,CO,6500
Delta Montrose Technical College,CO,4825
Community College of Denver,CO,8250
Fort Lewis College,CO,10500
Front Range Community College,CO,8278
Lamar Community College,CO,7667
Colorado Mesa University,CO,11250
Metropolitan State University of Denver,CO,13450
Morgan Community College,CO,7000
Northeastern Junior College,CO,5500
University of Northern Colorado,CO,14250
Otero Junior College,CO,6502
Pikes Peak Community College,CO,5906
Pueblo Community College,CO,7125
Red Rocks Community College,CO,8050
Colorado State University-Pueblo,CO,12061
Trinidad State Junior College,CO,5500
Western State Colorado University,CO,12000
Colorado State University-Global Campus,CO,7958
Asnuntuck Community College,CT,4500
Central Connecticut State University,CT,16852
Charter Oak State College,CT,12258
University of Connecticut,CT,18983
Eastern Connecticut State University,CT,17500
Capital Community College,CT,5250
Housatonic Community College,CT,4750
Manchester Community College,CT,2869
Naugatuck Valley Community College,CT,4200
Middlesex Community College,CT,4450
Three Rivers Community College,CT,6100
Norwalk Community College,CT,2750
Northwestern Connecticut Community College,CT,3033
Gateway Community College,CT,3500
Southern Connecticut State University,CT,17404
Tunxis Community College,CT,3500
Western Connecticut State University,CT,17050
University of Connecticut-Tri-Campus,CT,18983
University of Connecticut-Avery Point,CT,18983
University of Connecticut-Stamford,CT,18983
University of the District of Columbia,DC,9500
University of the District of Columbia-David A Clarke School of Law,DC,9500
Delaware Technical Community College-Owens,DE,4327
Delaware Technical Community College-Terry,DE,4500
Delaware Technical Community College-Stanton/Wilmington,DE,3775
Delaware State University,DE,15000
University of Delaware,DE,21000
Eastern Florida State College,FL,6707
Broward College,FL,4500
College of Central Florida,FL,7770
University of Central Florida,FL,15000
Chipola College,FL,4500
Daytona State College,FL,6250
Edison State College,FL,5944
Florida Agricultural and Mechanical University,FL,20750
Florida Atlantic University,FL,12500
Florida State College at Jacksonville,FL,6063
Florida International University,FL,13750
Florida Keys Community College,FL,9500
Florida State University,FL,18750
University of Florida,FL,14546
Gulf Coast State College,FL,5500
Hillsborough Community College,FL,7000
Indian River State College,FL,5056
Florida Gateway College,FL,3730
Lake-Sumter State College,FL,3868
State College of Florida-Manatee-Sarasota,FL,6548
Miami Dade College,FL,8000
University of North Florida,FL,14000
Northwest Florida State College,FL,3500
Palm Beach State College,FL,5500
Pasco-Hernando Community College,FL,6017
Pensacola State College,FL,3500
