Institution,State,Debt
Highlands College of Montana Tech,MT,11117
Dawson Community College,MT,5600
Montana State University-Billings,MT,10420
Flathead Valley Community College,MT,8750
Great Falls College Montana State University,MT,8476
Helena College University of Montana,MT,11798
Miles Community College,MT,8045
Montana Tech of the University of Montana,MT,11117
Montana State University,MT,14465
The University of Montana,MT,15259
Montana State University-Northern,MT,10500
The University of Montana-Western,MT,13300
City College Montana State University Billings,MT,10420
The University of Montana - Missoula College,MT,15259
College of the Albemarle,NC,4750
Appalachian State University,NC,15635
Asheville-Buncombe Technical Community College,NC,9000
Beaufort County Community College,NC,8000
Bladen Community College,NC,5131
Blue Ridge Community College,NC,6163
Caldwell Community College and Technical Institute,NC,9500
Cape Fear Community College,NC,7239
Carteret Community College,NC,7000
Catawba Valley Community College,NC,5500
Central Piedmont Community College,NC,5500
Coastal Carolina Community College,NC,4671
Craven Community College,NC,9000
Davidson County Community College,NC,9500
Durham Technical Community College,NC,6500
East Carolina University,NC,18500
Edgecombe Community College,NC,4702
Elizabeth City State University,NC,18137
Fayetteville Technical Community College,NC,6146
Fayetteville State University,NC,17003
Forsyth Technical Community College,NC,8250
Guilford Technical Community College,NC,9500
Halifax Community College,NC,5249
Haywood Community College,NC,5638
Isothermal Community College,NC,6817
James Sprunt Community College,NC,7189
Johnston Community College,NC,9500
Mayland Community College,NC,5500
McDowell Technical Community College,NC,6543
Mercy School of Nursing,NC,11263
Nash Community College,NC,5500
North Carolina A & T State University,NC,19843
University of North Carolina at Asheville,NC,15772
University of North Carolina at Chapel Hill,NC,15000
University of North Carolina at Charlotte,NC,16500
University of North Carolina at Greensboro,NC,16000
North Carolina Central University,NC,21670
University of North Carolina School of the Arts,NC,19500
North Carolina State University at Raleigh,NC,17750
University of North Carolina Wilmington,NC,16500
University of North Carolina at Pembroke,NC,13260
Piedmont Community College,NC,8750
Pitt Community College,NC,7250
Roanoke-Chowan Community College,NC,3775
Robeson Community College,NC,10500
Rowan-Cabarrus Community College,NC,6812
Southeastern Community College,NC,6968
Southwestern Community College,NC,7000
Surry Community College,NC,6125
Tri-County Community College,NC,9500
Vance-Granville Community College,NC,6500
Wake Technical Community College,NC,7000
Wayne Community College,NC,5500
Western Piedmont Community College,NC,7000
Wilkes Community College,NC,6000
Wilson Community College,NC,4350
Winston-Salem State University,NC,20499
Western Carolina University,NC,15000
Carolinas College of Health Sciences,NC,12000
Bismarck State College,ND,8303
Dickinson State University,ND,13000
Lake Region State College,ND,7296
Mayville State University,ND,11571
Minot State University,ND,12878
University of North Dakota,ND,16728
North Dakota State College of Science,ND,10228
Dakota College at Bottineau,ND,6969
North Dakota State University-Main Campus,ND,17000
Williston State College,ND,7560
Valley City State University,ND,12000
Central Community College,NE,5500
Chadron State College,NE,10700
University of Nebraska at Kearney,NE,13496
Metropolitan Community College Area,NE,4421
Mid-Plains Community College,NE,5500
University of Nebraska at Omaha,NE,13631
University of Nebraska Medical Center,NE,15448
University of Nebraska-Lincoln,NE,15799
Northeast Community College,NE,7474
Peru State College,NE,12194
Southeast Community College Area,NE,7705
Nebraska College of Technical Agriculture,NE,15799
Wayne State College,NE,12000
Western Nebraska Community College,NE,5500
University of New Hampshire-Main Campus,NH,23128
Keene State College,NH,20000
University of New Hampshire at Manchester,NH,23128
Plymouth State University,NH,21000
NHTI-Concord's Community College,NH,9500
White Mountains Community College,NH,11000
River Valley Community College,NH,9500
Lakes Region Community College,NH,9500
Manchester Community College,NH,9500
Nashua Community College,NH,7804
Great Bay Community College,NH,7500
Granite State College,NH,9964
Atlantic Cape Community College,NJ,6800
Bergen Community College,NJ,5500
Brookdale Community College,NJ,7426
Burlington County College,NJ,5500
Camden County College,NJ,5500
Adult and Continuing Education-BCTS,NJ,3500
County College of Morris,NJ,5750
Cumberland County College,NJ,9500
Rowan University,NJ,18500
Gloucester County College,NJ,6388
Hudson County Community College,NJ,5275
New Jersey City University,NJ,13250
Kean University,NJ,18750
Mercer County Community College,NJ,5637
Middlesex County College,NJ,6315
Montclair State University,NJ,19000
New Jersey Institute of Technology,NJ,16145
Ocean County College,NJ,7952
Passaic County Community College,NJ,4500
Ramapo College of New Jersey,NJ,19500
Rutgers University-Camden,NJ,19500
Rutgers University-New Brunswick,NJ,19500
Rutgers University-Newark,NJ,19500
Salem Community College,NJ,6781
Raritan Valley Community College,NJ,5275
The Richard Stockton College of New Jersey,NJ,18750
Thomas Edison State College,NJ,9322
The College of New Jersey,NJ,21500
Union County College,NJ,5500
William Paterson University of New Jersey,NJ,18750
Warren County Community College,NJ,5500
Sussex County Community College,NJ,5500
Monmouth County Vocational School District,NJ,3800
Ocean County Vocational-Technical School,NJ,5500
Central New Mexico Community College,NM,6916
New Mexico State University-Dona Ana,NM,11147
Clovis Community College,NM,5500
Eastern New Mexico University-Main Campus,NM,9436
Eastern New Mexico University-Roswell Campus,NM,9436
New Mexico Highlands University,NM,9445
New Mexico Junior College,NM,5500
New Mexico Military Institute,NM,5500
University of New Mexico-Gallup Campus,NM,14164
New Mexico Institute of Mining and Technology,NM,9283
University of New Mexico-Los Alamos Campus,NM,14164
University of New Mexico-Main Campus,NM,14164
New Mexico State University-Alamogordo,NM,11147
New Mexico State University-Carlsbad,NM,11147
New Mexico State University-Grants,NM,11147
New Mexico State University-Main Campus,NM,11147
University of New Mexico-Valencia County Campus,NM,14164
Northern New Mexico College,NM,5350
San Juan College,NM,6634
Santa Fe Community College,NM,9822
University of New Mexico-Taos Campus,NM,14164
Western New Mexico University,NM,9964
Luna Community College,NM,4168
Eastern New Mexico University-Ruidoso Campus,NM,9436
College of Southern Nevada,NV,6620
University of Nevada-Las Vegas,NV,12608
University of Nevada-Reno,NV,12000
Great Basin College,NV,8250
Truckee Meadows Community College,NV,7250
Western Nevada College,NV,9500
Nevada State College,NV,11819
Adirondack Community College,NY,7051
SUNY Broome Community College,NY,6678
Cayuga County Community College,NY,7500
Clinton Community College,NY,6500
Columbia-Greene Community College,NY,6700
Corning Community College,NY,7134
CUNY Bernard M Baruch College,NY,10000
CUNY Borough of Manhattan Community College,NY,5736
CUNY Bronx Community College,NY,7000
CUNY Brooklyn College,NY,9500
College of Staten Island CUNY,NY,9000
CUNY City College,NY,10000
CUNY Graduate School and University Center,NY,8750
CUNY Hostos Community College,NY,5250
CUNY Hunter College,NY,9500
CUNY John Jay College of Criminal Justice,NY,8251
CUNY Kingsborough Community College,NY,5250
CUNY LaGuardia Community College,NY,4500
CUNY Lehman College,NY,7500
CUNY Medgar Evers College,NY,5250
CUNY New York City College of Technology,NY,6713
CUNY Queens College,NY,9054
CUNY Queensborough Community College,NY,5500
CUNY York College,NY,7000
Dutchess Community College,NY,5500
Erie Community College,NY,5500
Fashion Institute of Technology,NY,17500
Finger Lakes Community College,NY,8005
Fulton-Montgomery Community College,NY,8250
Genesee Community College,NY,6500
Herkimer County Community College,NY,8168
Hudson Valley Community College,NY,5676
Jamestown Community College,NY,5906
Jefferson Community College,NY,5249
Southern Westchester BOCES-Practical Nursing Program,NY,9500
Mohawk Valley Community College,NY,7423
Monroe Community College,NY,7611
Nassau Community College,NY,6500
Niagara County Community College,NY,7309
North Country Community College,NY,8000
Onondaga Community College,NY,6125
Orange County Community College,NY,6124
Rockland Community College,NY,6150
Schenectady County Community College,NY,5500
Sullivan County Community College,NY,5500
SUNY College of Technology at Alfred,NY,12000
SUNY College of Technology at Canton,NY,12250
SUNY College of Technology at Delhi,NY,11640
SUNY College of Agriculture and Technology at Cobleskill,NY,11420
Farmingdale State College,NY,11000
Morrisville State College,NY,12000
SUNY at Albany,NY,16750
SUNY at Binghamton,NY,17750
University at Buffalo,NY,15200
Stony Brook University,NY,17000
SUNY College of Environmental Science and Forestry,NY,17124
SUNY Institute of Technology at Utica-Rome,NY,13193
SUNY College at Brockport,NY,17750
Buffalo State SUNY,NY,15895
SUNY College at Cortland,NY,18750
SUNY at Fredonia,NY,19000
SUNY College at Geneseo,NY,18500
State University of New York at New Paltz,NY,17500
SUNY Oneonta,NY,20500
SUNY College at Oswego,NY,18750
SUNY College at Potsdam,NY,19500
SUNY at Purchase College,NY,19750
SUNY College of Optometry,NY,5575
SUNY College at Old Westbury,NY,13821
SUNY College at Plattsburgh,NY,18750
SUNY Downstate Medical Center,NY,14334
SUNY Empire State College,NY,16244
SUNY Maritime College,NY,21980
Upstate Medical University,NY,18000
Tompkins Cortland Community College,NY,8524
Ulster County Community College,NY,5297
United States Merchant Marine Academy,NY,4000
SUNY Westchester Community College,NY,5500
Oswego County BOCES,NY,5500
Suffolk County Community College,NY,5000
Madison Oneida BOCES-Practical Nursing Program,NY,5500
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,NY,9500
Rensselaer BOCES-Practical Nursing Program,NY,9500
Schuyler Steuben Chemung Tioga Allegany BOCES,NY,9500
Clinton Essex Warren Washington BOCES-Practical Nursing Program,NY,10491
Jefferson Lewis BOCES-Practical Nursing Program,NY,6000
Veeb Nassau County School of Practical Nursing,NY,7500
Cattaraugus Allegany BOCES-Practical Nursing Program,NY,9604
Orange Ulster BOCES-Practical Nursing Program,NY,11880
Wayne Finger Lakes BOCES-Practical Nursing Program,NY,12125
Broome Delaware Tioga BOCES-Practical Nursing Program,NY,9500
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,NY,9500
Albany BOCES-Adult Practical Nursing Program,NY,9500
Ulster County BOCES-Practical Nursing Program,NY,7500
Eastern Suffolk BOCES-Practical Nursing Program,NY,8649
Rockland County BOCES-Practical Nursing Program,NY,5400
Western Suffolk BOCES,NY,8665
Cayuga Onondaga BOCES-Practical Nursing Program,NY,7536
Dutchess BOCES-Practical Nursing Program,NY,7000
Genesee Valley BOCES-Practical Nursing Program,NY,9000
Hamilton Fulton Montgomery BOCES-Practical Nursing Program,NY,7803
Herkimer County BOCES-Practical Nursing Program,NY,9500
Sullivan County BOCES-Practical Nursing Program,NY,9500
Erie 1 BOCES,NY,9500
Onondaga Cortland Madison BOCES,NY,6730
Orleans Niagara BOCES-Practical Nursing Program,NY,7820
Monroe 2 Orleans BOCES-Center for Workforce Development,NY,6000
University of Akron Main Campus,OH,15000
Akron School of Practical Nursing,OH,8000
University of Akron Wayne College,OH,15000
Apollo Career Center,OH,6333
Ashland County-West Holmes Career Center,OH,5899
Ashtabula County Technical and Career Campus,OH,4750
Auburn Career Center,OH,12666
Belmont College,OH,10870
Bowling Green State University-Firelands,OH,17500
Bowling Green State University-Main Campus,OH,17500
Buckeye Hills Career Center,OH,3500
Butler Tech-D Russel Lee Career Center,OH,6396
Canton City Schools Adult Career and Technical Education,OH,6000
Central Ohio Technical College,OH,9500
Central State University,OH,17411
Choffin Career and Technical Center,OH,5500
University of Cincinnati-Main Campus,OH,15000
Cincinnati State Technical and Community College,OH,7464
University of Cincinnati-Clermont College,OH,15000
University of Cincinnati-Blue Ash College,OH,15000
Clark State Community College,OH,8091
Cleveland State University,OH,16500
Columbus State Community College,OH,7820
Cuyahoga Community College District,OH,4820
Edison State Community College,OH,9500
EHOVE Career Center,OH,6496
Great Oaks Institute of Technology and Career Development,OH,7600
Hannah E Mullins School of Practical Nursing,OH,9416
Adult and Community Education-Hudson,OH,12541
Hocking College,OH,11000
Eastern Gateway Community College,OH,4520
Kent State University at Ashtabula,OH,16500
Kent State University at East Liverpool,OH,16500
Kent State University at Stark,OH,16500
Kent State University at Trumbull,OH,16500
Kent State University at Tuscarawas,OH,16500
Kent State University at Salem,OH,16500
Kent State University at Kent,OH,16500
Kent State University at Geauga,OH,16500
Lakeland Community College,OH,7504
O C Collins Career Center,OH,9499
James A Rhodes State College,OH,9834
Lorain County Community College,OH,6500
Marion Technical College,OH,6667
Miami University-Hamilton,OH,16766
Miami University-Middletown,OH,16766
Miami University-Oxford,OH,16766
Miami Valley Career Technology Center,OH,6919
Zane State College,OH,9624
North Central State College,OH,5084
Northwest State Community College,OH,6500
Toledo Public Schools Adult and Continuing Education,OH,9497
Northeast Ohio Medical University,OH,2950
Ohio State University Agricultural Technical Institute,OH,17000
Ohio State University-Lima Campus,OH,17000
Ohio State University-Mansfield Campus,OH,17000
Ohio State University-Marion Campus,OH,17000
Ohio State University-Newark Campus,OH,17000
Ohio State University-Main Campus,OH,17000
Ohio University-Eastern Campus,OH,14457
Ohio University-Chillicothe Campus,OH,14457
Ohio University-Southern Campus,OH,14457
Ohio University-Lancaster Campus,OH,14457
Ohio University-Main Campus,OH,14457
Ohio University-Zanesville Campus,OH,14457
Owens Community College,OH,8474
Cuyahoga Valley Career Center,OH,9500
Shawnee State University,OH,11000
Sinclair Community College,OH,5500
Stark State College,OH,10292
Southern State Community College,OH,7156
Terra State Community College,OH,7364
University of Toledo,OH,14500
Tri-Rivers Career Center,OH,6334
Upper Valley Career Center,OH,8148
Washington State Community College,OH,8758
Wright State University-Main Campus,OH,15000
Wright State University-Lake Campus,OH,15000
Youngstown State University,OH,16500
Portage Lakes Career Center,OH,5628
Greene County Vocational School District,OH,6000
Community Services Division-Alliance City,OH,5575
Knox County Career Center,OH,8618
Madison Adult Career Center,OH,6168
Sandusky Career Center,OH,6754
Mid-EastCTC-Adult Education,OH,5963
Polaris Career Center,OH,6422
Eastland-Fairfield Career and Technical Schools,OH,6500
Mahoning County Career and Technical Center,OH,5500
Ohio Hi Point Joint Vocational School District,OH,8007
Pickaway Ross Joint Vocational School District,OH,6563
Scioto County Career Technical Center,OH,6333
Trumbull Career & Technical Center,OH,7600
Warren County Career Center,OH,6333
Pike County Joint Vocational School District,OH,8000
Lorain County Joint Vocational School District,OH,3630
Career and Technology Education Centers of Licking County,OH,6935
Willoughby-Eastlake School of Practical Nursing,OH,9500
Wayne County Schools Career Center,OH,5500
Cameron University,OK,9471
Carl Albert State College,OK,4263
University of Central Oklahoma,OK,12500
Connors State College,OK,6215
East Central University,OK,12449
Eastern Oklahoma State College,OK,9344
Redlands Community College,OK,5500
Langston University,OK,15000
Murray State College,OK,10075
Northeastern State University,OK,12500
Northern Oklahoma College,OK,6419
Northeastern Oklahoma A&M College,OK,5500
Northwestern Oklahoma State University,OK,7500
University of Oklahoma-Health Sciences Center,OK,15750
Oklahoma Panhandle State University,OK,9375
Oklahoma State University-Main Campus,OK,14750
Oklahoma State University-Oklahoma City,OK,8250
Oklahoma City Community College,OK,5500
University of Oklahoma-Norman Campus,OK,15750
Oklahoma State University Institute of Technology,OK,8168
Rogers State University,OK,8250
Rose State College,OK,5157
University of Science and Arts of Oklahoma,OK,11296
Seminole State College,OK,7000
Southeastern Oklahoma State University,OK,9860
Southwestern Oklahoma State University,OK,10500
Tulsa Community College,OK,6572
Western Oklahoma State College,OK,5633
Francis Tuttle Technology Center,OK,4928
Metro Technology Centers,OK,7500
Mid-America Technology Center,OK,1312
Blue Mountain Community College,OR,9500
Central Oregon Community College,OR,11000
Chemeketa Community College,OR,8833
Clackamas Community College,OR,7500
Clatsop Community College,OR,7710
Eastern Oregon University,OR,14820
Lane Community College,OR,11048
Linn-Benton Community College,OR,7917
Mt Hood Community College,OR,6334
Oregon Health & Science University,OR,12661
Oregon Institute of Technology,OR,18333
Oregon State University,OR,16846
University of Oregon,OR,18309
Portland Community College,OR,9412
Portland State University,OR,18832
Rogue Community College,OR,11017
Southern Oregon University,OR,18166
Southwestern Oregon Community College,OR,8000
Treasure Valley Community College,OR,9500
Umpqua Community College,OR,8624
Western Oregon University,OR,17500
Columbia Gorge Community College,OR,7708
Tillamook Bay Community College,OR,2687
Oregon Coast Community College,OR,7710
Klamath Community College,OR,8745
Oregon State University-Cascades Campus,OR,16846
Community College of Allegheny County,PA,5987
Community College of Beaver County,PA,8750
Bloomsburg University of Pennsylvania,PA,18750
Bucks County Community College,PA,6163
Butler County Community College,PA,5500
California University of Pennsylvania,PA,19168
Cheyney University of Pennsylvania,PA,15000
Clarion University of Pennsylvania,PA,19000
Delaware County Community College,PA,7000
The Dickinson School of Law of the Pennsylvania State University,PA,21500
East Stroudsburg University of Pennsylvania,PA,16750
Edinboro University of Pennsylvania,PA,18750
Harrisburg Area Community College-Harrisburg,PA,9500
Indiana University of Pennsylvania-Main Campus,PA,20500
Kutztown University of Pennsylvania,PA,18750
Lehigh Carbon Community College,PA,5500
Lincoln University of Pennsylvania,PA,24376
Lock Haven University,PA,18162
Luzerne County Community College,PA,5500
Mansfield University of Pennsylvania,PA,19000
Millersville University of Pennsylvania,PA,18500
Montgomery County Community College,PA,5975
Northampton County Area Community College,PA,7196
Pennsylvania State University-Penn State Erie-Behrend College,PA,21500
Pennsylvania State University-Penn State Great Valley,PA,21500
Pennsylvania State University-College of Medicine,PA,21500
Pennsylvania State University-Penn State New Kensington,PA,21500
Pennsylvania State University-Penn State Shenango,PA,21500
Pennsylvania State University-Penn State Wilkes-Barre,PA,21500
Pennsylvania State University-Penn State Worthington Scranton,PA,21500
Pennsylvania State University-Penn State Lehigh Valley,PA,21500
Pennsylvania State University-Penn State Altoona,PA,21500
Pennsylvania State University-Penn State Beaver,PA,21500
Pennsylvania State University-Penn State Berks,PA,21500
Pennsylvania State University-Penn State Harrisburg,PA,21500
Pennsylvania State University-Penn State Brandywine,PA,21500
Pennsylvania State University-Penn State Dubois,PA,21500
Pennsylvania State University-Penn State Fayette- Eberly,PA,21500
Pennsylvania State University-Penn State Hazleton,PA,21500
Pennsylvania State University-Main Campus,PA,21500
Pennsylvania State University-Penn State Greater Allegheny,PA,21500
Pennsylvania State University-Penn State Mont Alto,PA,21500
Pennsylvania State University-Penn State Abington,PA,21500
Pennsylvania State University-Penn State Schuylkill,PA,21500
Pennsylvania State University-Penn State York,PA,21500
Community College of Philadelphia,PA,5500
University of Pittsburgh-Bradford,PA,22000
University of Pittsburgh-Greensburg,PA,22000
University of Pittsburgh-Johnstown,PA,22000
University of Pittsburgh-Pittsburgh Campus,PA,22000
University of Pittsburgh-Titusville,PA,22000
Reading Area Community College,PA,9250
Schuylkill Technology Center,PA,7306
Shippensburg University of Pennsylvania,PA,18000
Slippery Rock University of Pennsylvania,PA,20500
Thaddeus Stevens College of Technology,PA,5500
Temple University,PA,21700
West Chester University of Pennsylvania,PA,19695
Westmoreland County Community College,PA,5500
Career Technology Center of Lackawanna County,PA,10268
Fayette County Career & Technical Institute Practical Nursing Program,PA,8742
Franklin County Career and Technology Center,PA,9500
Greene County Career and Technology Center,PA,14580
Lawrence County Career and Technical Center-Practical Nursing Program,PA,16500
Wilkes-Barre Area Career and Technical Center Practical Nursing,PA,13017
Pennsylvania College of Technology,PA,14000
Mercer County Career Center,PA,16500
Western Area Career and Technology Center,PA,14205
Central Pennsylvania Institute of Science and Technology,PA,6674
Eastern Center for Arts and Technology,PA,9500
Greater Altoona Career & Technology Center,PA,8693
Central Susquehanna Intermediate Unit LPN Career,PA,9500
Pennsylvania Highlands Community College,PA,5052
York County School of Technology-Adult & Continuing Education,PA,6973
Chester County Intermediate Unit,PA,16661
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,PA,9876
Greater Johnstown Career and Technology Center,PA,8455
Mifflin-Juniata Career and Technology Center,PA,12363
Hanover Public School District Practical Nursing Program,PA,6319
Lenape Technical School Practical Nursing Program,PA,10760
Venango County Area Vocational Technical School,PA,14677
Lancaster County Career and Technology Center,PA,9500
Lebanon County Area Vocational Technical School,PA,9500
Indiana County Technology Center,PA,9309
Northern Tier Career Center,PA,14269
Clarion County Career Center Practical Nursing Program,PA,17444
Crawford County Career and Technical Center Practical Nursing Program,PA,9996
Clearfield County Career and Technology Center,PA,9500
Delaware County Technical School-Practical Nursing Program,PA,12500
Susquehanna County Career and Technology Center,PA,8203
Somerset County Technology Center,PA,9500
Pennsylvania State University-World Campus,PA,21500
Bucks County Community College-Upper Bucks Campus,PA,6163
Bucks County Community College-Lower Bucks Campus,PA,6163
Harrisburg Area Community College-Lancaster,PA,9500
Harrisburg Area Community College-Gettysburg,PA,9500
Harrisburg Area Community College-Lebanon,PA,9500
Harrisburg Area Community College-York,PA,9500
Northampton County Area Community College-Monroe,PA,7196
Puerto Rico Conservatory of Music,PR,5500
University of Puerto Rico-Aguadilla,PR,5000
University of Puerto Rico-Arecibo,PR,4500
University of Puerto Rico-Bayamon,PR,4500
University of Puerto Rico-Carolina,PR,4500
University of Puerto Rico-Cayey,PR,4500
University of Puerto Rico-Humacao,PR,4500
University of Puerto Rico-Utuado,PR,3500
University of Puerto Rico-Mayaguez,PR,5500
University of Puerto Rico-Medical Sciences,PR,5500
University of Puerto Rico-Ponce,PR,5250
University of Puerto Rico-Rio Piedras,PR,5500
Rhode Island College,RI,15462
Community College of Rhode Island,RI,4500
University of Rhode Island,RI,19500
Aiken Technical College,SC,5500
Technical College of the Lowcountry,SC,6000
College of Charleston,SC,17000
Citadel Military College of South Carolina,SC,19500
Clemson University,SC,20008
Denmark Technical College,SC,5500
Florence-Darlington Technical College,SC,6999
Francis Marion University,SC,19250
Greenville Technical College,SC,9500
Horry-Georgetown Technical College,SC,9500
Lander University,SC,15250
Medical University of South Carolina,SC,3000
Midlands Technical College,SC,6750
Orangeburg Calhoun Technical College,SC,5365
Piedmont Technical College,SC,7401
University of South Carolina-Aiken,SC,13750
University of South Carolina-Beaufort,SC,11000
University of South Carolina-Columbia,SC,19125
University of South Carolina-Lancaster,SC,19125
University of South Carolina-Salkehatchie,SC,6500
University of South Carolina-Sumter,SC,7818
University of South Carolina-Union,SC,7375
Coastal Carolina University,SC,14750
South Carolina State University,SC,21750
University of South Carolina-Upstate,SC,15750
Spartanburg Community College,SC,3500
Central Carolina Technical College,SC,4875
Tri-County Technical College,SC,5500
Trident Technical College,SC,10309
Winthrop University,SC,19976
York Technical College,SC,6384
Black Hills State University,SD,13575
Dakota State University,SD,12500
Lake Area Technical Institute,SD,12000
Mitchell Technical Institute,SD,10500
Northern State University,SD,12821
South Dakota School of Mines and Technology,SD,14875
South Dakota State University,SD,15269
Southeast Technical Institute,SD,10000
University of South Dakota,SD,15463
Western Dakota Technical Institute,SD,7894
Austin Peay State University,TN,15000
Chattanooga State Community College,TN,8251
Cleveland State Community College,TN,6859
Columbia State Community College,TN,6500
Dyersburg State Community College,TN,3514
East Tennessee State University,TN,14250
Tennessee College of Applied Technology-Harriman,TN,2625
Tennessee College of Applied Technology-Hartsville,TN,1737
Tennessee College of Applied Technology-Memphis,TN,1767
University of Memphis,TN,18938
Middle Tennessee State University,TN,15000
Tennessee College of Applied Technology-Morristown,TN,2625
Motlow State Community College,TN,3500
Nashville State Community College,TN,7988
Roane State Community College,TN,7402
Tennessee College of Applied Technology-Crossville,TN,3500
Tennessee College of Applied Technology-Whiteville,TN,1600
Pellissippi State Community College,TN,6650
The University of Tennessee-Chattanooga,TN,11420
The University of Tennessee-Knoxville,TN,15250
The University of Tennessee-Martin,TN,15134
Tennessee State University,TN,16375
Tennessee Technological University,TN,11000
Northeast State Community College,TN,6015
Volunteer State Community College,TN,3988
Walters State Community College,TN,4760
Alvin Community College,TX,4000
Amarillo College,TX,7510
Angelo State University,TX,11773
Austin Community College District,TX,5250
Texas A & M University Health Science Center,TX,16566
Coastal Bend College,TX,5716
Blinn College,TX,5500
Brazosport College,TX,4500
Brookhaven College,TX,6427
Cedar Valley College,TX,4750
Central Texas College,TX,4750
Cisco College,TX,5900
Clarendon College,TX,6279
North Central Texas College,TX,3750
Texas A & M University-Corpus Christi,TX,13500
Del Mar College,TX,3656
Texas A & M University-Texarkana,TX,10013
Texas A & M University-Commerce,TX,15000
Eastfield College,TX,5500
El Centro College,TX,5500
El Paso Community College,TX,4987
Frank Phillips College,TX,5500
Galveston College,TX,5764
Grayson College,TX,5250
Trinity Valley Community College,TX,6146
Hill College,TX,7509
University of Houston-Clear Lake,TX,16030
Houston Community College,TX,8000
University of Houston-Downtown,TX,13000
University of Houston-Victoria,TX,12000
University of Houston,TX,14878
Howard College,TX,5250
Kilgore College,TX,8000
Lamar University,TX,12500
Lamar State College-Orange,TX,8040
Lamar State College-Port Arthur,TX,5500
Laredo Community College,TX,2334
Texas A & M International University,TX,11250
Lee College,TX,6250
College of the Mainland,TX,4568
McLennan Community College,TX,7639
Midland College,TX,3500
Midwestern State University,TX,14950
Mountain View College,TX,5250
Navarro College,TX,8883
Lone Star College System,TX,7210
North Lake College,TX,5500
University of North Texas,TX,14955
Northeast Texas Community College,TX,7125
Odessa College,TX,6000
The University of Texas-Pan American,TX,9621
The University of Texas at Brownsville,TX,10425
Panola College,TX,5250
Paris Junior College,TX,4750
Prairie View A & M University,TX,17438
Ranger College,TX,5575
Richland College,TX,5500
St Philip's College,TX,9500
Sam Houston State University,TX,16490
San Antonio College,TX,8000
San Jacinto Community College,TX,6000
South Plains College,TX,6500
Southwest Texas Junior College,TX,5500
Stephen F Austin State University,TX,16074
Texas State University,TX,15750
Sul Ross State University,TX,10250
Tarleton State University,TX,13118
Tarrant County College District,TX,4500
Temple College,TX,9500
The University of Texas Health Science Center at San Antonio,TX,15500
The University of Texas Medical Branch,TX,15000
Texas State Technical College-Waco,TX,9080
Texarkana College,TX,5500
Texas A & M University-Kingsville,TX,14695
Texas A & M University-College Station,TX,16566
The University of Texas at Arlington,TX,12834
The University of Texas at Austin,TX,20500
The University of Texas at Dallas,TX,15080
The University of Texas at El Paso,TX,12500
The University of Texas at Tyler,TX,13000
University of North Texas Health Science Center,TX,2668
The University of Texas of the Permian Basin,TX,9015
The University of Texas at San Antonio,TX,16490
Texas Southern University,TX,17311
Texas Tech University,TX,17750
Texas Woman's University,TX,14385
The University of Texas Health Science Center at Houston,TX,16500
Texas State Technical College-Harlingen,TX,4168
Texas State Technical College-West Texas,TX,7000
Texas Tech University Health Sciences Center,TX,12500
Tyler Junior College,TX,7055
Vernon College,TX,6450
Victoria College,TX,8250
Weatherford College,TX,6250
West Texas A & M University,TX,13573
Western Texas College,TX,5500
Wharton County Junior College,TX,5500
Palo Alto College,TX,6482
Collin County Community College District,TX,7000
Southwest Collegiate Institute for the Deaf,TX,5250
Texas State Technical College-Marshall,TX,9500
The University of Texas MD Anderson Cancer Center,TX,12500
Northwest Vista College,TX,5593
Lamar Institute of Technology,TX,5750
Galveston College,TX,5764
San Jacinto College-North Campus,TX,6000
San Jacinto College-South Campus,TX,6000
Texas A&M University-San Antonio,TX,14695
Dixie State University,UT,9500
Snow College,UT,3500
Southern Utah University,UT,8250
Utah State University,UT,8750
Utah Valley University,UT,11000
Salt Lake Community College,UT,5250
University of Utah,UT,12839
Weber State University,UT,9500
Snow College-Richfield Campus,UT,3500
Blue Ridge Community College,VA,6547
College of William and Mary,VA,19500
Central Virginia Community College,VA,3655
Christopher Newport University,VA,19736
Dabney S Lancaster Community College,VA,5500
Danville Community College,VA,3500
George Mason University,VA,17250
Germanna Community College,VA,5500
J Sargeant Reynolds Community College,VA,8000
James Madison University,VA,18500
John Tyler Community College,VA,5500
Longwood University,VA,19000
Lord Fairfax Community College,VA,5357
University of Mary Washington,VA,16672
New River Community College,VA,5500
Norfolk State University,VA,21500
Northern Virginia Community College,VA,7392
Old Dominion University,VA,18000
Piedmont Virginia Community College,VA,5500
Radford University,VA,15000
Richard Bland College of the College of William and Mary,VA,5700
Southwest Virginia Community College,VA,2500
Thomas Nelson Community College,VA,7000
Tidewater Community College,VA,5531
The University of Virginia's College at Wise,VA,12611
Virginia Polytechnic Institute and State University,VA,21500
Virginia Western Community College,VA,8200
Virginia Commonwealth University,VA,19125
University of Virginia-Main Campus,VA,17746
Virginia Military Institute,VA,19710
Virginia State University,VA,17000
Wytheville Community College,VA,4750
Henrico County-Saint Marys Hospital School of Practical Nursing,VA,5750
University of the Virgin Islands,VI,7307
University of the Virgin Islands-Albert A. Sheen,VI,7307
Castleton State College,VT,18625
Community College of Vermont,VT,5500
Johnson State College,VT,18000
Lyndon State College,VT,14200
Vermont Technical College,VT,13000
